,id,name,host_id,host_name,neighbourhood,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,latitude_41.7,latitude_41.8,latitude_41.9,latitude_42.0,longitude_-87.8,longitude_-87.7,longitude_-87.6,longitude_-87.5,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,community_Central,community_Far North Side,community_Far Southeast Side,community_Far Southwest Side,community_North Side,community_Northwest Side,community_South Side,community_Southwest Side,community_West Side,price_range_100 - 149,price_range_150 - 199,price_range_200 - 249,price_range_250 +,price_range_50 - 99,price_range_< 50
1569,18521017,2BR Lakeview Condo with Deck on a Quiet Street,126783761,Bethany,Lake View,147,4,127,2020-09-07,3.11,1,315,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1570,18522455,Beautiful 3-bed Condo Near University of Chicago,67665258,Corey,Woodlawn,99,1,332,2020-08-23,8.1,2,282,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1572,18570989,"Luxury, private bedroom suite in Lakeview",128938940,Barry,Lake View,125,2,65,2020-02-16,1.6,1,90,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1574,18583660,Champagne Suite:  AirBnB Super Host,93017116,Randall,Grand Boulevard,100,3,77,2020-01-01,1.92,4,262,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1576,18591272,Laid back Private Room  w/ FREE PARKING,91186260,Jessie,Englewood,23,6,15,2019-03-18,0.38,6,82,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1577,18596206,Northside bright and comfy retreat,23006241,Elleene And Vic,Rogers Park,89,2,104,2020-08-23,2.59,1,49,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1578,18601472,Large 3B/2.5 Bth by Lakefront - Long stays welcome,17363046,Courtney,Uptown,289,2,35,2020-09-01,0.97,1,351,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1579,18609191,Charming 2-BR/1-bath near Wrigley,9094538,Nicole,Lake View,73,1,71,2020-03-22,1.74,37,67,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1581,18636382,"Unwind in the Bath at a Hip, Historic Coach House",14729644,Elinor,West Town,109,2,185,2020-08-30,4.62,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1583,18638690,Rare large Duplex Gem near Wrigley & Logan Square,100386347,Lisa,Avondale,289,2,75,2020-03-08,1.85,1,179,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1584,18638839,⭐️Walk + Transit Score 90+⭐️Pvt Bathroom⭐️3rd Fl⭐️,51277433,Kanan,Near North Side,85,1,82,2020-08-31,2.18,2,353,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1585,18665347,Luxury Penthouse in the hottest area of the city,32625825,Luxury Rentals,Near North Side,1079,2,10,2020-02-17,0.28,1,343,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1586,18672130,"3B/3BA Luxury Sky Loft | Panoramic Views, Indoor Pool & Gym by ENVITAE | PAID IN/OUT PARKING IN BLDG",67751745,Brett,Near North Side,313,3,92,2020-09-07,2.28,3,345,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1588,18691257,Logan Square Studio WITH A/C - NO CLEANING FEE,86913754,Stephen,Logan Square,123,2,134,2020-09-08,3.3,1,83,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1589,18697223,"Quiet & Comfy, Steps from the Hub of Artsy 18th St.",17635314,Jaime & Jennifer,Lower West Side,98,2,116,2020-09-15,2.95,1,160,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1590,18704537,Spacious 4BR/2BA Duplex near Wrigley!,9094538,Nicole,Lake View,124,1,60,2020-03-08,1.48,37,158,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1591,18708060,Entire Level in north park by Brown Line Subway,130066930,David,Albany Park,65,1,109,2019-12-16,2.68,1,135,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
